Field,Date,amatr
AbsExposure,2016-06-28,1.0000000000000553
AbsExposure,2016-06-29,1.0000000000000553
AbsExposure,2016-06-30,1.0000000000000553
AbsExposure,2016-07-01,1.0000000000000553
AbsExposure,2016-07-05,1.0000000000000553
AbsExposure,2016-07-06,1.0000000000000913
AbsExposure,2016-07-07,1.0000000000000913
AbsExposure,2016-07-08,1.0000000000000913
AbsExposure,2016-07-11,1.0000000000000913
AbsExposure,2016-07-12,0.9999999999999603
AbsExposure,2016-07-13,0.9999999999999603
AbsExposure,2016-07-14,0.9999999999999603
AbsExposure,2016-07-15,0.9999999999999603
AbsExposure,2016-07-18,0.9999999999999603
AbsExposure,2016-07-19,0.9999999999999423
AbsExposure,2016-07-20,0.9999999999999423
AbsExposure,2016-07-21,0.9999999999999423
AbsExposure,2016-07-22,0.9999999999999423
AbsExposure,2016-07-25,0.9999999999999423
AbsExposure,2016-07-26,0.9999999999999271
AbsExposure,2016-07-27,0.9999999999999271
AbsExposure,2016-07-28,0.9999999999999271
AbsExposure,2016-07-29,0.9999999999999271
AbsExposure,2016-08-01,0.9999999999999271
AbsExposure,2016-08-02,0.9999999999999896
AbsExposure,2016-08-03,0.9999999999999896
AbsExposure,2016-08-04,0.9999999999999896
AbsExposure,2016-08-05,0.9999999999999896
AbsExposure,2016-08-08,0.9999999999999896
AbsExposure,2016-08-09,1.0000000000000497
AbsExposure,2016-08-10,1.0000000000000497
AbsExposure,2016-08-11,1.0000000000000497
AbsExposure,2016-08-12,1.0000000000000497
AbsExposure,2016-08-15,1.0000000000000497
AbsExposure,2016-08-16,1.0000000000000626
AbsExposure,2016-08-17,1.0000000000000626
AbsExposure,2016-08-18,1.0000000000000626
AbsExposure,2016-08-19,1.0000000000000626
AbsExposure,2016-08-22,1.0000000000000626
AbsExposure,2016-08-23,0.9999999999999992
AbsExposure,2016-08-24,0.9999999999999992
AbsExposure,2016-08-25,0.9999999999999992
AbsExposure,2016-08-26,0.9999999999999992
AbsExposure,2016-08-29,0.9999999999999992
AbsExposure,2016-08-30,0.9999999999999749
AbsExposure,2016-08-31,0.9999999999999749
AbsExposure,2016-09-01,0.9999999999999749
AbsExposure,2016-09-02,0.9999999999999749
AbsExposure,2016-09-06,0.9999999999999749
AbsExposure,2016-09-07,1.0000000000000129
AbsExposure,2016-09-08,1.0000000000000129
AbsExposure,2016-09-09,1.0000000000000129
AbsExposure,2016-09-12,1.0000000000000129
AbsExposure,2016-09-13,1.0000000000001068
AbsExposure,2016-09-14,1.0000000000001068
AbsExposure,2016-09-15,1.0000000000001068
AbsExposure,2016-09-16,1.0000000000001068
AbsExposure,2016-09-19,1.0000000000001068
AbsExposure,2016-09-20,0.9999999999999835
AbsExposure,2016-09-21,0.9999999999999835
AbsExposure,2016-09-22,0.9999999999999835
AbsExposure,2016-09-23,0.9999999999999835
AbsExposure,2016-09-26,0.9999999999999835
AbsExposure,2016-09-27,1.0000000000000873
AbsExposure,2016-09-28,1.0000000000000873
AbsExposure,2016-09-29,1.0000000000000873
AbsExposure,2016-09-30,1.0000000000000873
AbsExposure,2016-10-03,1.0000000000000873
AbsExposure,2016-10-04,0.9999999999999426
AbsExposure,2016-10-05,0.9999999999999426
AbsExposure,2016-10-06,0.9999999999999426
AbsExposure,2016-10-07,0.9999999999999426
AbsExposure,2016-10-10,0.9999999999999426
AbsExposure,2016-10-11,0.9999999999999747
AbsExposure,2016-10-12,0.9999999999999747
AbsExposure,2016-10-13,0.9999999999999747
AbsExposure,2016-10-14,0.9999999999999747
AbsExposure,2016-10-17,0.9999999999999747
AbsExposure,2016-10-18,1.0000000000000226
AbsExposure,2016-10-19,1.0000000000000226
AbsExposure,2016-10-20,1.0000000000000226
AbsExposure,2016-10-21,1.0000000000000226
AbsExposure,2016-10-24,1.0000000000000226
AbsExposure,2016-10-25,0.9999999999999977
AbsExposure,2016-10-26,0.9999999999999977
AbsExposure,2016-10-27,0.9999999999999977
AbsExposure,2016-10-28,0.9999999999999977
AbsExposure,2016-10-31,0.9999999999999977
AbsExposure,2016-11-01,1.0000000000000397
AbsExposure,2016-11-02,1.0000000000000397
AbsExposure,2016-11-03,1.0000000000000397
AbsExposure,2016-11-04,1.0000000000000397
AbsExposure,2016-11-07,1.0000000000000397
AbsExposure,2016-11-08,1.0000000000000455
AbsExposure,2016-11-09,1.0000000000000455
AbsExposure,2016-11-10,1.0000000000000455
AbsExposure,2016-11-11,1.0000000000000455
AbsExposure,2016-11-14,1.0000000000000455
AbsExposure,2016-11-15,1.0000000000001035
AbsExposure,2016-11-16,1.0000000000001035
AbsExposure,2016-11-17,1.0000000000001035
AbsExposure,2016-11-18,1.0000000000001035
AbsExposure,2016-11-21,1.0000000000001035
AbsExposure,2016-11-22,0.9999999999999776
AbsExposure,2016-11-23,0.9999999999999776
AbsExposure,2016-11-25,0.9999999999999776
AbsExposure,2016-11-28,0.9999999999999776
AbsExposure,2016-11-29,1.0000000000000258
AbsExposure,2016-11-30,1.0000000000000258
AbsExposure,2016-12-01,1.0000000000000258
AbsExposure,2016-12-02,1.0000000000000258
AbsExposure,2016-12-05,1.0000000000000258
AbsExposure,2016-12-06,1.0000000000000133
AbsExposure,2016-12-07,1.0000000000000133
AbsExposure,2016-12-08,1.0000000000000133
AbsExposure,2016-12-09,1.0000000000000133
AbsExposure,2016-12-12,1.0000000000000133
AbsExposure,2016-12-13,1.000000000000111
AbsExposure,2016-12-14,1.000000000000111
AbsExposure,2016-12-15,1.000000000000111
AbsExposure,2016-12-16,1.000000000000111
AbsExposure,2016-12-19,1.000000000000111
AbsExposure,2016-12-20,0.9999999999999886
AbsExposure,2016-12-21,0.9999999999999886
AbsExposure,2016-12-22,0.9999999999999886
AbsExposure,2016-12-23,0.9999999999999886
AbsExposure,2016-12-27,0.9999999999999886
AbsExposure,2016-12-28,0.9999999999999881
AbsExposure,2016-12-29,0.9999999999999881
AbsExposure,2016-12-30,0.9999999999999881
AbsExposure,2017-01-03,0.9999999999999881
AbsExposure,2017-01-04,1.0000000000000469
AbsExposure,2017-01-05,1.0000000000000469
AbsExposure,2017-01-06,1.0000000000000469
AbsExposure,2017-01-09,1.0000000000000469
AbsExposure,2017-01-10,1.0000000000000182
AbsExposure,2017-01-11,1.0000000000000182
AbsExposure,2017-01-12,1.0000000000000182
AbsExposure,2017-01-13,1.0000000000000182
AbsExposure,2017-01-17,1.0000000000000182
AbsExposure,2017-01-18,1.0000000000000475
AbsExposure,2017-01-19,1.0000000000000475
AbsExposure,2017-01-20,1.0000000000000475
AbsExposure,2017-01-23,1.0000000000000475
AbsExposure,2017-01-24,1.0000000000000364
AbsExposure,2017-01-25,1.0000000000000364
AbsExposure,2017-01-26,1.0000000000000364
AbsExposure,2017-01-27,1.0000000000000364
AbsExposure,2017-01-30,1.0000000000000364
AbsExposure,2017-01-31,1.0000000000000544
AbsExposure,2017-02-01,1.0000000000000544
AbsExposure,2017-02-02,1.0000000000000544
AbsExposure,2017-02-03,1.0000000000000544
AbsExposure,2017-02-06,1.0000000000000544
AbsExposure,2017-02-07,1.0000000000000064
AbsExposure,2017-02-08,1.0000000000000064
AbsExposure,2017-02-09,1.0000000000000064
AbsExposure,2017-02-10,1.0000000000000064
AbsExposure,2017-02-13,1.0000000000000064
AbsExposure,2017-02-14,0.9999999999999168
AbsExposure,2017-02-15,0.9999999999999168
AbsExposure,2017-02-16,0.9999999999999168
AbsExposure,2017-02-17,0.9999999999999168
AbsExposure,2017-02-21,0.9999999999999168
AbsExposure,2017-02-22,1.0000000000000062
AbsExposure,2017-02-23,1.0000000000000062
AbsExposure,2017-02-24,1.0000000000000062
AbsExposure,2017-02-27,1.0000000000000062
AbsExposure,2017-02-28,1.0000000000000662
AbsExposure,2017-03-01,1.0000000000000662
AbsExposure,2017-03-02,1.0000000000000662
AbsExposure,2017-03-03,1.0000000000000662
AbsExposure,2017-03-06,1.0000000000000662
AbsExposure,2017-03-07,1.0000000000000497
AbsExposure,2017-03-08,1.0000000000000497
AbsExposure,2017-03-09,1.0000000000000497
AbsExposure,2017-03-10,1.0000000000000497
AbsExposure,2017-03-13,1.0000000000000497
AbsExposure,2017-03-14,1.000000000000069
AbsExposure,2017-03-15,1.000000000000069
AbsExposure,2017-03-16,1.000000000000069
AbsExposure,2017-03-17,1.000000000000069
AbsExposure,2017-03-20,1.000000000000069
AbsExposure,2017-03-21,0.9999999999999206
AbsExposure,2017-03-22,0.9999999999999206
AbsExposure,2017-03-23,0.9999999999999206
AbsExposure,2017-03-24,0.9999999999999206
AbsExposure,2017-03-27,0.9999999999999206
AbsExposure,2017-03-28,0.9999999999999908
AbsExposure,2017-03-29,0.9999999999999908
AbsExposure,2017-03-30,0.9999999999999908
AbsExposure,2017-03-31,0.9999999999999908
AbsExposure,2017-04-03,0.9999999999999908
AbsExposure,2017-04-04,0.9999999999999568
AbsExposure,2017-04-05,0.9999999999999568
AbsExposure,2017-04-06,0.9999999999999568
AbsExposure,2017-04-07,0.9999999999999568
AbsExposure,2017-04-10,0.9999999999999568
AbsExposure,2017-04-11,1.0000000000000235
AbsExposure,2017-04-12,1.0000000000000235
AbsExposure,2017-04-13,1.0000000000000235
AbsExposure,2017-04-17,1.0000000000000235
AbsExposure,2017-04-18,1.0000000000000526
AbsExposure,2017-04-19,1.0000000000000526
AbsExposure,2017-04-20,1.0000000000000526
AbsExposure,2017-04-21,1.0000000000000526
AbsExposure,2017-04-24,1.0000000000000526
AbsExposure,2017-04-25,0.9999999999999328
AbsExposure,2017-04-26,0.9999999999999328
AbsExposure,2017-04-27,0.9999999999999328
AbsExposure,2017-04-28,0.9999999999999328
AbsExposure,2017-05-01,0.9999999999999328
AbsExposure,2017-05-02,0.9999999999999182
AbsExposure,2017-05-03,0.9999999999999182
AbsExposure,2017-05-04,0.9999999999999182
AbsExposure,2017-05-05,0.9999999999999182
AbsExposure,2017-05-08,0.9999999999999182
AbsExposure,2017-05-09,1.0000000000000164
AbsExposure,2017-05-10,1.0000000000000164
AbsExposure,2017-05-11,1.0000000000000164
AbsExposure,2017-05-12,1.0000000000000164
AbsExposure,2017-05-15,1.0000000000000164
AbsExposure,2017-05-16,1.0000000000000457
AbsExposure,2017-05-17,1.0000000000000457
AbsExposure,2017-05-18,1.0000000000000457
AbsExposure,2017-05-19,1.0000000000000457
AbsExposure,2017-05-22,1.0000000000000457
AbsExposure,2017-05-23,0.999999999999982
AbsExposure,2017-05-24,0.999999999999982
AbsExposure,2017-05-25,0.999999999999982
AbsExposure,2017-05-26,0.999999999999982
AbsExposure,2017-05-30,0.999999999999982
AbsExposure,2017-05-31,0.9999999999999672
AbsExposure,2017-06-01,0.9999999999999672
AbsExposure,2017-06-02,0.9999999999999672
AbsExposure,2017-06-05,0.9999999999999672
AbsExposure,2017-06-06,0.9999999999999571
AbsExposure,2017-06-07,0.9999999999999571
AbsExposure,2017-06-08,0.9999999999999571
AbsExposure,2017-06-09,0.9999999999999571
AbsExposure,2017-06-12,0.9999999999999571
AbsExposure,2017-06-13,1.000000000000073
AbsExposure,2017-06-14,1.000000000000073
AbsExposure,2017-06-15,1.000000000000073
AbsExposure,2017-06-16,1.000000000000073
AbsExposure,2017-06-19,1.000000000000073
AbsExposure,2017-06-20,1.0000000000000109
AbsExposure,2017-06-21,1.0000000000000109
AbsExposure,2017-06-22,1.0000000000000109
AbsExposure,2017-06-23,1.0000000000000109
AbsExposure,2017-06-26,1.0000000000000109
AbsExposure,2017-06-27,0.999999999999984
AbsExposure,2017-06-28,0.999999999999984
AbsExposure,2017-06-29,0.999999999999984
AbsExposure,2017-06-30,0.999999999999984
AbsExposure,2017-07-03,0.999999999999984
AbsExposure,2017-07-05,0.999999999999936
AbsExposure,2017-07-06,0.999999999999936
AbsExposure,2017-07-07,0.999999999999936
AbsExposure,2017-07-10,0.999999999999936
AbsExposure,2017-07-11,1.0000000000000329
AbsExposure,2017-07-12,1.0000000000000329
AbsExposure,2017-07-13,1.0000000000000329
AbsExposure,2017-07-14,1.0000000000000329
AbsExposure,2017-07-17,1.0000000000000329
AbsExposure,2017-07-18,1.0000000000001068
AbsExposure,2017-07-19,1.0000000000001068
AbsExposure,2017-07-20,1.0000000000001068
AbsExposure,2017-07-21,1.0000000000001068
AbsExposure,2017-07-24,1.0000000000001068
AbsExposure,2017-07-25,1.0000000000000409
AbsExposure,2017-07-26,1.0000000000000409
AbsExposure,2017-07-27,1.0000000000000409
AbsExposure,2017-07-28,1.0000000000000409
AbsExposure,2017-07-31,1.0000000000000409
AbsExposure,2017-08-01,1.0000000000000222
AbsExposure,2017-08-02,1.0000000000000222
AbsExposure,2017-08-03,1.0000000000000222
AbsExposure,2017-08-04,1.0000000000000222
AbsExposure,2017-08-07,1.0000000000000222
AbsExposure,2017-08-08,1.0000000000000164
AbsExposure,2017-08-09,1.0000000000000164
AbsExposure,2017-08-10,1.0000000000000164
AbsExposure,2017-08-11,1.0000000000000164
AbsExposure,2017-08-14,1.0000000000000164
AbsExposure,2017-08-15,1.000000000000052
AbsExposure,2017-08-16,1.000000000000052
AbsExposure,2017-08-17,1.000000000000052
AbsExposure,2017-08-18,1.000000000000052
AbsExposure,2017-08-21,1.000000000000052
AbsExposure,2017-08-22,0.9999999999999662
AbsExposure,2017-08-23,0.9999999999999662
AbsExposure,2017-08-24,0.9999999999999662
AbsExposure,2017-08-25,0.9999999999999662
AbsExposure,2017-08-28,0.9999999999999662
AbsExposure,2017-08-29,1.0000000000000757
AbsExposure,2017-08-30,1.0000000000000757
AbsExposure,2017-08-31,1.0000000000000757
AbsExposure,2017-09-01,1.0000000000000757
AbsExposure,2017-09-05,1.0000000000000757
AbsExposure,2017-09-06,0.9999999999999335
AbsExposure,2017-09-07,0.9999999999999335
AbsExposure,2017-09-08,0.9999999999999335
AbsExposure,2017-09-11,0.9999999999999335
AbsExposure,2017-09-12,1.0000000000000386
AbsExposure,2017-09-13,1.0000000000000386
AbsExposure,2017-09-14,1.0000000000000386
AbsExposure,2017-09-15,1.0000000000000386
AbsExposure,2017-09-18,1.0000000000000386
AbsExposure,2017-09-19,0.9999999999999667
AbsExposure,2017-09-20,0.9999999999999667
AbsExposure,2017-09-21,0.9999999999999667
AbsExposure,2017-09-22,0.9999999999999667
AbsExposure,2017-09-25,0.9999999999999667
AbsExposure,2017-09-26,0.999999999999938
AbsExposure,2017-09-27,0.999999999999938
AbsExposure,2017-09-28,0.999999999999938
AbsExposure,2017-09-29,0.999999999999938
AbsExposure,2017-10-02,0.999999999999938
AbsExposure,2017-10-03,1.0000000000000675
AbsExposure,2017-10-04,1.0000000000000675
AbsExposure,2017-10-05,1.0000000000000675
AbsExposure,2017-10-06,1.0000000000000675
AbsExposure,2017-10-09,1.0000000000000675
AbsExposure,2017-10-10,1.000000000000056
AbsExposure,2017-10-11,1.000000000000056
AbsExposure,2017-10-12,1.000000000000056
AbsExposure,2017-10-13,1.000000000000056
AbsExposure,2017-10-16,1.000000000000056
AbsExposure,2017-10-17,1.00000000000008
AbsExposure,2017-10-18,1.00000000000008
AbsExposure,2017-10-19,1.00000000000008
AbsExposure,2017-10-20,1.00000000000008
AbsExposure,2017-10-23,1.00000000000008
AbsExposure,2017-10-24,1.0000000000000306
AbsExposure,2017-10-25,1.0000000000000306
AbsExposure,2017-10-26,1.0000000000000306
AbsExposure,2017-10-27,1.0000000000000306
AbsExposure,2017-10-30,1.0000000000000306
AbsExposure,2017-10-31,0.9999999999999292
AbsExposure,2017-11-01,0.9999999999999292
AbsExposure,2017-11-02,0.9999999999999292
AbsExposure,2017-11-03,0.9999999999999292
AbsExposure,2017-11-06,0.9999999999999292
AbsExposure,2017-11-07,0.9999999999999487
AbsExposure,2017-11-08,0.9999999999999487
AbsExposure,2017-11-09,0.9999999999999487
AbsExposure,2017-11-10,0.9999999999999487
AbsExposure,2017-11-13,0.9999999999999487
AbsExposure,2017-11-14,1.0000000000000342
AbsExposure,2017-11-15,1.0000000000000342
AbsExposure,2017-11-16,1.0000000000000342
AbsExposure,2017-11-17,1.0000000000000342
AbsExposure,2017-11-20,1.0000000000000342
AbsExposure,2017-11-21,0.999999999999968
AbsExposure,2017-11-22,0.999999999999968
AbsExposure,2017-11-24,0.999999999999968
AbsExposure,2017-11-27,0.999999999999968
AbsExposure,2017-11-28,0.9999999999999885
AbsExposure,2017-11-29,0.9999999999999885
AbsExposure,2017-11-30,0.9999999999999885
AbsExposure,2017-12-01,0.9999999999999885
AbsExposure,2017-12-04,0.9999999999999885
AbsExposure,2017-12-05,1.0000000000000826
AbsExposure,2017-12-06,1.0000000000000826
AbsExposure,2017-12-07,1.0000000000000826
AbsExposure,2017-12-08,1.0000000000000826
AbsExposure,2017-12-11,1.0000000000000826
AbsExposure,2017-12-12,1.00000000000001
AbsExposure,2017-12-13,1.00000000000001
AbsExposure,2017-12-14,1.00000000000001
AbsExposure,2017-12-15,1.00000000000001
AbsExposure,2017-12-18,1.00000000000001
AbsExposure,2017-12-19,0.999999999999941
AbsExposure,2017-12-20,0.999999999999941
AbsExposure,2017-12-21,0.999999999999941
AbsExposure,2017-12-22,0.999999999999941
AbsExposure,2017-12-26,0.999999999999941
AbsExposure,2017-12-27,0.9999999999999564
AbsExposure,2017-12-28,0.9999999999999564
AbsExposure,2017-12-29,0.9999999999999564
AbsExposure,2018-01-02,0.9999999999999564
AbsExposure,2018-01-03,0.9999999999999271
AbsExposure,2018-01-04,0.9999999999999271
AbsExposure,2018-01-05,0.9999999999999271
AbsExposure,2018-01-08,0.9999999999999271
AbsExposure,2018-01-09,0.9999999999999902
AbsExposure,2018-01-10,0.9999999999999902
AbsExposure,2018-01-11,0.9999999999999902
AbsExposure,2018-01-12,0.9999999999999902
AbsExposure,2018-01-16,0.9999999999999902
AbsExposure,2018-01-17,1.0000000000000968
AbsExposure,2018-01-18,1.0000000000000968
AbsExposure,2018-01-19,1.0000000000000968
AbsExposure,2018-01-22,1.0000000000000968
AbsExposure,2018-01-23,1.0000000000000397
AbsExposure,2018-01-24,1.0000000000000397
AbsExposure,2018-01-25,1.0000000000000397
AbsExposure,2018-01-26,1.0000000000000397
AbsExposure,2018-01-29,1.0000000000000397
AbsExposure,2018-01-30,0.9999999999999258
AbsExposure,2018-01-31,0.9999999999999258
AbsExposure,2018-02-01,0.9999999999999258
AbsExposure,2018-02-02,0.9999999999999258
AbsExposure,2018-02-05,0.9999999999999258
AbsExposure,2018-02-06,0.9999999999999916
AbsExposure,2018-02-07,0.9999999999999916
AbsExposure,2018-02-08,0.9999999999999916
AbsExposure,2018-02-09,0.9999999999999916
AbsExposure,2018-02-12,0.9999999999999916
AbsExposure,2018-02-13,0.9999999999999819
AbsExposure,2018-02-14,0.9999999999999819
AbsExposure,2018-02-15,0.9999999999999819
AbsExposure,2018-02-16,0.9999999999999819
AbsExposure,2018-02-20,0.9999999999999819
AbsExposure,2018-02-21,1.0000000000000773
AbsExposure,2018-02-22,1.0000000000000773
AbsExposure,2018-02-23,1.0000000000000773
AbsExposure,2018-02-26,1.0000000000000773
AbsExposure,2018-02-27,1.000000000000088
AbsExposure,2018-02-28,1.000000000000088
AbsExposure,2018-03-01,1.000000000000088
AbsExposure,2018-03-02,1.000000000000088
AbsExposure,2018-03-05,1.000000000000088
AbsExposure,2018-03-06,1.000000000000006
AbsExposure,2018-03-07,1.000000000000006
AbsExposure,2018-03-08,1.000000000000006
AbsExposure,2018-03-09,1.000000000000006
AbsExposure,2018-03-12,1.000000000000006
AbsExposure,2018-03-13,1.0000000000001028
AbsExposure,2018-03-14,1.0000000000001028
AbsExposure,2018-03-15,1.0000000000001028
AbsExposure,2018-03-16,1.0000000000001028
AbsExposure,2018-03-19,1.0000000000001028
AbsExposure,2018-03-20,0.99999999999996
AbsExposure,2018-03-21,0.99999999999996
AbsExposure,2018-03-22,0.99999999999996
AbsExposure,2018-03-23,0.99999999999996
AbsExposure,2018-03-26,0.99999999999996
AbsExposure,2018-03-27,0.9999999999999355
AbsExposure,2018-03-28,0.9999999999999355
AbsExposure,2018-03-29,0.9999999999999355
AbsExposure,2018-04-02,0.9999999999999355
AbsExposure,2018-04-03,0.9999999999999742
AbsExposure,2018-04-04,0.9999999999999742
AbsExposure,2018-04-05,0.9999999999999742
AbsExposure,2018-04-06,0.9999999999999742
AbsExposure,2018-04-09,0.9999999999999742
AbsExposure,2018-04-10,1.0000000000000746
AbsExposure,2018-04-11,1.0000000000000746
AbsExposure,2018-04-12,1.0000000000000746
AbsExposure,2018-04-13,1.0000000000000746
AbsExposure,2018-04-16,1.0000000000000746
AbsExposure,2018-04-17,0.99999999999995
AbsExposure,2018-04-18,0.99999999999995
AbsExposure,2018-04-19,0.99999999999995
AbsExposure,2018-04-20,0.99999999999995
AbsExposure,2018-04-23,0.99999999999995
AbsExposure,2018-04-24,0.9999999999999217
AbsExposure,2018-04-25,0.9999999999999217
AbsExposure,2018-04-26,0.9999999999999217
AbsExposure,2018-04-27,0.9999999999999217
AbsExposure,2018-04-30,0.9999999999999217
AbsExposure,2018-05-01,1.0000000000000344
AbsExposure,2018-05-02,1.0000000000000344
AbsExposure,2018-05-03,1.0000000000000344
AbsExposure,2018-05-04,1.0000000000000344
AbsExposure,2018-05-07,1.0000000000000344
AbsExposure,2018-05-08,1.0000000000000722
AbsExposure,2018-05-09,1.0000000000000722
AbsExposure,2018-05-10,1.0000000000000722
AbsExposure,2018-05-11,1.0000000000000722
AbsExposure,2018-05-14,1.0000000000000722
AbsExposure,2018-05-15,0.9999999999999626
AbsExposure,2018-05-16,0.9999999999999626
AbsExposure,2018-05-17,0.9999999999999626
AbsExposure,2018-05-18,0.9999999999999626
AbsExposure,2018-05-21,0.9999999999999626
AbsExposure,2018-05-22,0.9999999999999523
AbsExposure,2018-05-23,0.9999999999999523
AbsExposure,2018-05-24,0.9999999999999523
AbsExposure,2018-05-25,0.9999999999999523
AbsExposure,2018-05-29,0.9999999999999523
AbsExposure,2018-05-30,0.9999999999999833
AbsExposure,2018-05-31,0.9999999999999833
AbsExposure,2018-06-01,0.9999999999999833
AbsExposure,2018-06-04,0.9999999999999833
AbsExposure,2018-06-05,1.0000000000000508
AbsExposure,2018-06-06,1.0000000000000508
AbsExposure,2018-06-07,1.0000000000000508
